,game,model,experiment,episode,metric,value
0,matchit,paligemma-3b-mix-448-t0.0--paligemma-3b-mix-448-t0.0,1_similar_image,episode_4,Violated Request Count,1.0
1,matchit,paligemma-3b-mix-448-t0.0--paligemma-3b-mix-448-t0.0,1_similar_image,episode_4,Parsed Request Count,0.0
2,matchit,paligemma-3b-mix-448-t0.0--paligemma-3b-mix-448-t0.0,1_similar_image,episode_4,Request Count,1.0
3,matchit,paligemma-3b-mix-448-t0.0--paligemma-3b-mix-448-t0.0,1_similar_image,episode_4,Aborted,1.0
4,matchit,paligemma-3b-mix-448-t0.0--paligemma-3b-mix-448-t0.0,1_similar_image,episode_4,Success,0.0
5,matchit,paligemma-3b-mix-448-t0.0--paligemma-3b-mix-448-t0.0,1_similar_image,episode_4,Lose,0.0
6,matchit,paligemma-3b-mix-448-t0.0--paligemma-3b-mix-448-t0.0,1_similar_image,episode_4,Main Score,
7,matchit,paligemma-3b-mix-448-t0.0--paligemma-3b-mix-448-t0.0,1_similar_image,episode_3,Violated Request Count,1.0
8,matchit,paligemma-3b-mix-448-t0.0--paligemma-3b-mix-448-t0.0,1_similar_image,episode_3,Parsed Request Count,0.0
9,matchit,paligemma-3b-mix-448-t0.0--paligemma-3b-mix-448-t0.0,1_similar_image,episode_3,Request Count,1.0
10,matchit,paligemma-3b-mix-448-t0.0--paligemma-3b-mix-448-t0.0,1_similar_image,episode_3,Aborted,1.0
11,matchit,paligemma-3b-mix-448-t0.0--paligemma-3b-mix-448-t0.0,1_similar_image,episode_3,Success,0.0
12,matchit,paligemma-3b-mix-448-t0.0--paligemma-3b-mix-448-t0.0,1_similar_image,episode_3,Lose,0.0
13,matchit,paligemma-3b-mix-448-t0.0--paligemma-3b-mix-448-t0.0,1_similar_image,episode_3,Main Score,
14,matchit,paligemma-3b-mix-448-t0.0--paligemma-3b-mix-448-t0.0,1_similar_image,episode_8,Violated Request Count,1.0
15,matchit,paligemma-3b-mix-448-t0.0--paligemma-3b-mix-448-t0.0,1_similar_image,episode_8,Parsed Request Count,0.0
16,matchit,paligemma-3b-mix-448-t0.0--paligemma-3b-mix-448-t0.0,1_similar_image,episode_8,Request Count,1.0
17,matchit,paligemma-3b-mix-448-t0.0--paligemma-3b-mix-448-t0.0,1_similar_image,episode_8,Aborted,1.0
18,matchit,paligemma-3b-mix-448-t0.0--paligemma-3b-mix-448-t0.0,1_similar_image,episode_8,Success,0.0
19,matchit,paligemma-3b-mix-448-t0.0--paligemma-3b-mix-448-t0.0,1_similar_image,episode_8,Lose,0.0
20,matchit,paligemma-3b-mix-448-t0.0--paligemma-3b-mix-448-t0.0,1_similar_image,episode_8,Main Score,
21,matchit,paligemma-3b-mix-448-t0.0--paligemma-3b-mix-448-t0.0,1_similar_image,episode_2,Violated Request Count,1.0
22,matchit,paligemma-3b-mix-448-t0.0--paligemma-3b-mix-448-t0.0,1_similar_image,episode_2,Parsed Request Count,0.0
23,matchit,paligemma-3b-mix-448-t0.0--paligemma-3b-mix-448-t0.0,1_similar_image,episode_2,Request Count,1.0
24,matchit,paligemma-3b-mix-448-t0.0--paligemma-3b-mix-448-t0.0,1_similar_image,episode_2,Aborted,1.0
25,matchit,paligemma-3b-mix-448-t0.0--paligemma-3b-mix-448-t0.0,1_similar_image,episode_2,Success,0.0
26,matchit,paligemma-3b-mix-448-t0.0--paligemma-3b-mix-448-t0.0,1_similar_image,episode_2,Lose,0.0
27,matchit,paligemma-3b-mix-448-t0.0--paligemma-3b-mix-448-t0.0,1_similar_image,episode_2,Main Score,
28,matchit,paligemma-3b-mix-448-t0.0--paligemma-3b-mix-448-t0.0,1_similar_image,episode_5,Violated Request Count,1.0
29,matchit,paligemma-3b-mix-448-t0.0--paligemma-3b-mix-448-t0.0,1_similar_image,episode_5,Parsed Request Count,0.0
30,matchit,paligemma-3b-mix-448-t0.0--paligemma-3b-mix-448-t0.0,1_similar_image,episode_5,Request Count,1.0
31,matchit,paligemma-3b-mix-448-t0.0--paligemma-3b-mix-448-t0.0,1_similar_image,episode_5,Aborted,1.0
32,matchit,paligemma-3b-mix-448-t0.0--paligemma-3b-mix-448-t0.0,1_similar_image,episode_5,Success,0.0
33,matchit,paligemma-3b-mix-448-t0.0--paligemma-3b-mix-448-t0.0,1_similar_image,episode_5,Lose,0.0
34,matchit,paligemma-3b-mix-448-t0.0--paligemma-3b-mix-448-t0.0,1_similar_image,episode_5,Main Score,
35,matchit,paligemma-3b-mix-448-t0.0--paligemma-3b-mix-448-t0.0,1_similar_image,episode_9,Violated Request Count,1.0
