,game,model,experiment,episode,metric,value
0,matchit,MiniCPM-Llama3-V-2_5-t0.0--MiniCPM-Llama3-V-2_5-t0.0,1_similar_image,episode_4,Violated Request Count,0
1,matchit,MiniCPM-Llama3-V-2_5-t0.0--MiniCPM-Llama3-V-2_5-t0.0,1_similar_image,episode_4,Parsed Request Count,16
2,matchit,MiniCPM-Llama3-V-2_5-t0.0--MiniCPM-Llama3-V-2_5-t0.0,1_similar_image,episode_4,Request Count,16
3,matchit,MiniCPM-Llama3-V-2_5-t0.0--MiniCPM-Llama3-V-2_5-t0.0,1_similar_image,episode_4,Aborted,0
4,matchit,MiniCPM-Llama3-V-2_5-t0.0--MiniCPM-Llama3-V-2_5-t0.0,1_similar_image,episode_4,Success,0
5,matchit,MiniCPM-Llama3-V-2_5-t0.0--MiniCPM-Llama3-V-2_5-t0.0,1_similar_image,episode_4,Lose,1
6,matchit,MiniCPM-Llama3-V-2_5-t0.0--MiniCPM-Llama3-V-2_5-t0.0,1_similar_image,episode_4,Main Score,0
7,matchit,MiniCPM-Llama3-V-2_5-t0.0--MiniCPM-Llama3-V-2_5-t0.0,1_similar_image,episode_3,Violated Request Count,0
8,matchit,MiniCPM-Llama3-V-2_5-t0.0--MiniCPM-Llama3-V-2_5-t0.0,1_similar_image,episode_3,Parsed Request Count,16
9,matchit,MiniCPM-Llama3-V-2_5-t0.0--MiniCPM-Llama3-V-2_5-t0.0,1_similar_image,episode_3,Request Count,16
10,matchit,MiniCPM-Llama3-V-2_5-t0.0--MiniCPM-Llama3-V-2_5-t0.0,1_similar_image,episode_3,Aborted,0
11,matchit,MiniCPM-Llama3-V-2_5-t0.0--MiniCPM-Llama3-V-2_5-t0.0,1_similar_image,episode_3,Success,0
12,matchit,MiniCPM-Llama3-V-2_5-t0.0--MiniCPM-Llama3-V-2_5-t0.0,1_similar_image,episode_3,Lose,1
13,matchit,MiniCPM-Llama3-V-2_5-t0.0--MiniCPM-Llama3-V-2_5-t0.0,1_similar_image,episode_3,Main Score,0
14,matchit,MiniCPM-Llama3-V-2_5-t0.0--MiniCPM-Llama3-V-2_5-t0.0,1_similar_image,episode_8,Violated Request Count,0
15,matchit,MiniCPM-Llama3-V-2_5-t0.0--MiniCPM-Llama3-V-2_5-t0.0,1_similar_image,episode_8,Parsed Request Count,16
16,matchit,MiniCPM-Llama3-V-2_5-t0.0--MiniCPM-Llama3-V-2_5-t0.0,1_similar_image,episode_8,Request Count,16
17,matchit,MiniCPM-Llama3-V-2_5-t0.0--MiniCPM-Llama3-V-2_5-t0.0,1_similar_image,episode_8,Aborted,0
18,matchit,MiniCPM-Llama3-V-2_5-t0.0--MiniCPM-Llama3-V-2_5-t0.0,1_similar_image,episode_8,Success,0
19,matchit,MiniCPM-Llama3-V-2_5-t0.0--MiniCPM-Llama3-V-2_5-t0.0,1_similar_image,episode_8,Lose,1
20,matchit,MiniCPM-Llama3-V-2_5-t0.0--MiniCPM-Llama3-V-2_5-t0.0,1_similar_image,episode_8,Main Score,0
21,matchit,MiniCPM-Llama3-V-2_5-t0.0--MiniCPM-Llama3-V-2_5-t0.0,1_similar_image,episode_2,Violated Request Count,0
22,matchit,MiniCPM-Llama3-V-2_5-t0.0--MiniCPM-Llama3-V-2_5-t0.0,1_similar_image,episode_2,Parsed Request Count,16
23,matchit,MiniCPM-Llama3-V-2_5-t0.0--MiniCPM-Llama3-V-2_5-t0.0,1_similar_image,episode_2,Request Count,16
24,matchit,MiniCPM-Llama3-V-2_5-t0.0--MiniCPM-Llama3-V-2_5-t0.0,1_similar_image,episode_2,Aborted,0
25,matchit,MiniCPM-Llama3-V-2_5-t0.0--MiniCPM-Llama3-V-2_5-t0.0,1_similar_image,episode_2,Success,0
26,matchit,MiniCPM-Llama3-V-2_5-t0.0--MiniCPM-Llama3-V-2_5-t0.0,1_similar_image,episode_2,Lose,1
27,matchit,MiniCPM-Llama3-V-2_5-t0.0--MiniCPM-Llama3-V-2_5-t0.0,1_similar_image,episode_2,Main Score,0
28,matchit,MiniCPM-Llama3-V-2_5-t0.0--MiniCPM-Llama3-V-2_5-t0.0,1_similar_image,episode_5,Violated Request Count,0
29,matchit,MiniCPM-Llama3-V-2_5-t0.0--MiniCPM-Llama3-V-2_5-t0.0,1_similar_image,episode_5,Parsed Request Count,16
30,matchit,MiniCPM-Llama3-V-2_5-t0.0--MiniCPM-Llama3-V-2_5-t0.0,1_similar_image,episode_5,Request Count,16
31,matchit,MiniCPM-Llama3-V-2_5-t0.0--MiniCPM-Llama3-V-2_5-t0.0,1_similar_image,episode_5,Aborted,0
32,matchit,MiniCPM-Llama3-V-2_5-t0.0--MiniCPM-Llama3-V-2_5-t0.0,1_similar_image,episode_5,Success,0
33,matchit,MiniCPM-Llama3-V-2_5-t0.0--MiniCPM-Llama3-V-2_5-t0.0,1_similar_image,episode_5,Lose,1
34,matchit,MiniCPM-Llama3-V-2_5-t0.0--MiniCPM-Llama3-V-2_5-t0.0,1_similar_image,episode_5,Main Score,0
35,matchit,MiniCPM-Llama3-V-2_5-t0.0--MiniCPM-Llama3-V-2_5-t0.0,1_similar_image,episode_9,Violated Request Count,0
36,matchit,MiniCPM-Llama3-V-2_5-t0.0--MiniCPM-Llama3-V-2_5-t0.0,1_similar_image,episode_9,Parsed Request Count,16
37,matchit,MiniCPM-Llama3-V-2_5-t0.0--MiniCPM-Llama3-V-2_5-t0.0,1_similar_image,episode_9,Request Count,16
38,matchit,MiniCPM-Llama3-V-2_5-t0.0--MiniCPM-Llama3-V-2_5-t0.0,1_similar_image,episode_9,Aborted,0
